original_feature,gain,importance_pct,feature_label
margin_net_pow_ele,11516.260856274515,11.148046564780305,전력 계약 순마진
pow_max,6927.225412075408,6.705738296686013,최대 계약전력
recent_consumption_change_log,6800.768139973283,6.58332429656535,최근 소비 변화
forecast_meter_rent_12m,6357.2001760794665,6.1539387192632455,예측 계량기 임대료
cons_12m,5961.927343074087,5.771304112151532,최근 12개월 전기 소비량
net_margin,5698.373722421005,5.516177203163864,고객 순마진
contract_age_ratio,5110.924003237626,4.9475102629429575,계약 생애주기 진행률
days_until_contract_end,5108.734670889447,4.94539093104627,계약 종료까지 남은 기간
off_peak_energy_recent_change_rate,4847.507189997472,4.692515787166794,최근 에너지 가격 변화
days_since_product_modification,4442.232284435071,4.300198908005013,상품 변경 후 경과 기간
cons_last_month,4148.094618809317,4.015465830682861,최근 1개월 전기 소비량
contract_tenure_days,4120.843773772009,3.989086288468862,계약 유지 기간
forecast_cons_12m,4061.040965080727,3.931195580337514,향후 12개월 예측 소비량
days_until_renewal,3226.4664276996627,3.123305248517272,계약 갱신까지 남은 기간
off_peak_power_recent_change_rate,2921.4727777201915,2.8280632898323095,최근 전력 가격 변화
forecast_price_energy_off_peak,2713.341723503603,2.6265868980641276,예측 비첨두 에너지 가격
forecast_off_peak_energy_change,2644.957039659843,2.5603887067134465,예측 에너지 가격 변화
origin_up,2482.5583404414356,2.40318244996561,계약 유입 경로
total_contract_days,2085.910678254906,2.019216971669112,전체 계약 기간
forecast_price_energy_peak,1991.7739329785109,1.9280901004653968,예측 첨두 에너지 가격
renewal_end_gap_days,1864.5852996278554,1.8049681232195143,갱신일-계약종료일 간격
cons_gas_12m,1747.1642180085182,1.6913013956317977,최근 12개월 가스 소비량
channel_sales,1545.8241844326258,1.4963988923218314,판매 채널
imp_cons,1491.7948014829308,1.4440970137427804,현재 유료 소비 관련 값
forecast_cons_year,1428.5079670322593,1.3828336760849478,다음 연도 예측 소비량
forecast_off_peak_power_change,922.6396665349603,0.8931397172582358,예측 전력 가격 변화
forecast_discount_energy,450.9958875775337,0.43657600483228604,예측 에너지 할인 수준
forecast_price_pow_off_peak,223.80315706133842,0.21664740382337586,예측 비첨두 전력 가격
nb_prod_act,193.70678782463074,0.18751331856176626,활성 상품 수
num_years_antig,92.19576893746853,0.0892479545242879,고객 유지 연차
has_gas,91.44698369503021,0.08852311050990673,가스 상품 보유 여부
renewal_within_3m,37.33456039428711,0.036140846664162604,3개월 내 갱신 예정
modified_within_3m,21.555717036128044,0.02086650695525504,최근 3개월 내 상품 변경
contract_end_within_3m,16.01089483499527,0.015498971705480187,3개월 내 계약 종료 예정
renewal_before_reference,7.769019842147827,0.007520617676507205,기준일 이전 갱신
contract_end_before_reference,0.0,0.0,기준일 이전 계약 종료
modification_after_reference,0.0,0.0,기준일 이후 상품 변경일
