feature,missing_count,missing_rate
forecast_off_peak_power_change,90,0.007702841492639507
off_peak_power_recent_change_rate,84,0.00718931872646354
forecast_off_peak_energy_change,22,0.0018829168093118796
off_peak_energy_recent_change_rate,16,0.0013693940431359123
channel_sales,0,0.0
cons_12m,0,0.0
cons_gas_12m,0,0.0
cons_last_month,0,0.0
forecast_cons_12m,0,0.0
forecast_cons_year,0,0.0
forecast_discount_energy,0,0.0
forecast_meter_rent_12m,0,0.0
forecast_price_energy_off_peak,0,0.0
forecast_price_energy_peak,0,0.0
forecast_price_pow_off_peak,0,0.0
has_gas,0,0.0
imp_cons,0,0.0
margin_net_pow_ele,0,0.0
nb_prod_act,0,0.0
net_margin,0,0.0
num_years_antig,0,0.0
origin_up,0,0.0
pow_max,0,0.0
contract_end_within_3m,0,0.0
recent_consumption_change_log,0,0.0
contract_tenure_days,0,0.0
total_contract_days,0,0.0
days_until_contract_end,0,0.0
days_until_renewal,0,0.0
days_since_product_modification,0,0.0
renewal_end_gap_days,0,0.0
modified_within_3m,0,0.0
renewal_within_3m,0,0.0
contract_age_ratio,0,0.0
contract_end_before_reference,0,0.0
renewal_before_reference,0,0.0
modification_after_reference,0,0.0
